,customer_id,date,amount,card,id_merchant,merchant_name
0,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
1,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
2,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
3,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
4,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
5,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
6,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
7,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
8,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
9,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
10,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
11,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
12,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
13,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
14,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
15,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
16,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
17,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
18,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
19,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
20,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
21,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
22,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
23,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
24,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
25,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
26,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
27,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
28,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
29,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
30,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
31,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
32,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
33,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
34,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
35,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
36,18,2018-02-14 09:36:28,2.73,4498002758300,1,restaurant
37,2,2018-10-30 07:27:12,10.45,675911140852,1,restaurant
